seed,region,class_id,class_name,precision,recall,f1_score,support
55,trunk_tail_both_mice,1,investigation,0.6187118006582041,0.658,0.6377513932638721,2000
55,trunk_tail_both_mice,2,mount,0.7992194275802255,0.9215,0.8560148629818858,2000
55,trunk_tail_both_mice,3,other,0.9033613445378151,0.7525,0.8210583742498636,2000
55,hips_tail_both_mice,0,attack,0.7591623036649214,0.58,0.6575963718820862,2000
55,hips_tail_both_mice,1,investigation,0.5850556438791733,0.736,0.6519043401240036,2000
55,hips_tail_both_mice,2,mount,0.8333333333333334,0.9325,0.8801321378008494,2000
55,hips_tail_both_mice,3,other,0.9091967403958091,0.781,0.8402366863905325,2000
55,hips_only_both_mice,0,attack,0.7253012048192771,0.602,0.6579234972677596,2000
55,hips_only_both_mice,1,investigation,0.5891706059303825,0.6855,0.6336954009706494,2000
55,hips_only_both_mice,2,mount,0.7967823878069432,0.941,0.8629069234296194,2000
55,hips_only_both_mice,3,other,0.9224712295578438,0.7615,0.8342919748014243,2000
55,neck_only_both_mice,0,attack,0.6701958708311275,0.633,0.651067112368218,2000
55,neck_only_both_mice,1,investigation,0.45260960334029227,0.542,0.493287827076223,2000
55,neck_only_both_mice,2,mount,0.6521136521136521,0.4705,0.5466163229741504,2000
55,neck_only_both_mice,3,other,0.708315002199736,0.805,0.7535689211326937,2000
55,tail_base_only_both_mice,0,attack,0.5872689938398358,0.429,0.4958104594047963,2000
55,tail_base_only_both_mice,1,investigation,0.47105045492142267,0.5695,0.5156179266636487,2000
55,tail_base_only_both_mice,2,mount,0.6039019963702359,0.6655,0.6332064700285442,2000
55,tail_base_only_both_mice,3,other,0.6411058946270214,0.6145,0.6275210620372734,2000
55,resident_only_full_body,0,attack,0.7907434761201378,0.803,0.7968246092780947,2000
55,resident_only_full_body,1,investigation,0.41474820143884894,0.5765,0.4824267782426778,2000
55,resident_only_full_body,2,mount,0.5970567624386826,0.426,0.49722789611905455,2000
55,resident_only_full_body,3,other,0.565266742338252,0.498,0.529505582137161,2000
55,intruder_only_full_body,0,attack,0.7781155015197568,0.512,0.617611580217129,2000
55,intruder_only_full_body,1,investigation,0.31572871572871575,0.547,0.4003659652333028,2000
55,intruder_only_full_body,2,mount,0.6664835164835164,0.6065,0.6350785340314136,2000
55,intruder_only_full_body,3,other,0.4295925661186562,0.3005,0.35363342159458666,2000
