region,degradation_mode,degradation_severity,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95
head_neck_both_mice,temporal_subsample,2.0,5,0.758170067874943,0.0321321815171143,0.02816509891795092,0.7530553781884579,0.030619026457211637,0.02683876002877039,0.7527782701765644,0.0376721452948958,0.03302109127315326,0.760613741122413,0.03192448288728429,0.0279830430419386
resident_only_full_body,temporal_subsample,2.0,5,0.5877515094624917,0.02172090461967165,0.01903921235085101,0.6050908982222889,0.02839503183110957,0.024889342787871478,0.5910202736855987,0.017337205836872045,0.015196730950131592,0.5841384044361339,0.01813027488174265,0.015891886617842743
intruder_only_full_body,temporal_subsample,2.0,5,0.5205239583032344,0.0702324895087836,0.06156149134210692,0.5294840322185423,0.07369037488110566,0.06459246150846533,0.5256515299482346,0.066674315295768,0.05844261413099977,0.5220568403447248,0.06622750232251663,0.05805096529188357
full_body_both_mice,temporal_subsample,3.0,5,0.7795146629151283,0.022790186324657413,0.019976479089993466,0.7723936408691734,0.033184615046599725,0.029087597580132858,0.7714524622648122,0.03451865559746928,0.030256935679875207,0.7801763364121883,0.021449438684056424,0.01880126196689141
no_tail_both_mice,temporal_subsample,3.0,5,0.767895989806118,0.033493601652888096,0.029358436282005584,0.7627484440088214,0.03556167001014832,0.031171178122154055,0.7607564699054283,0.04079271920381331,0.03575639490570076,0.7705347945351011,0.032011087695856144,0.028058955503683446
hips_tail_both_mice,temporal_subsample,3.0,5,0.7639216998578305,0.01865464943646574,0.01635152118065529,0.7503052779995415,0.036324610911764976,0.03183992530793534,0.7523646492037714,0.03973522788077363,0.034829462891999056,0.7647550056335729,0.02094257573850096,0.018356977006288595
head_neck_both_mice,temporal_subsample,3.0,5,0.7558161200644251,0.032109385059724306,0.0281451169420298,0.7515347341337908,0.030270619872249886,0.026533368192119444,0.7508506600643541,0.038904176842074735,0.03410101453880046,0.758528670428155,0.032013593414685806,0.02806115186307661
trunk_tail_both_mice,temporal_subsample,3.0,5,0.7635132396385848,0.02419901279998704,0.02121136994279015,0.7506080751871379,0.04352859581955436,0.03815449649331359,0.7503646240288397,0.04256933830249998,0.03731367020701758,0.7637747571252211,0.02298093744336241,0.0201436798175312
resident_only_full_body,temporal_subsample,3.0,5,0.5615379940217914,0.017829507237905287,0.01562825215419805,0.581267877892041,0.01919757852712348,0.016827419511295048,0.5599428429788722,0.016655661521058903,0.014599331017555579,0.5529648313843879,0.01801651073363113,0.015792167945359495
intruder_only_full_body,temporal_subsample,3.0,5,0.5021197902977355,0.07178952880392575,0.06292629645947681,0.5108872489348751,0.07184940526634563,0.06297878049284424,0.5057322071096174,0.067615207515385,0.05926734252432496,0.5018277605805859,0.06908559120512385,0.06055619065456407
full_body_both_mice,temporal_subsample,5.0,5,0.7756590851961309,0.022176091385932437,0.01943820114316344,0.7685199994466884,0.03246644642413941,0.028458095027354427,0.7674423416056069,0.03386938714151313,0.02968782678583481,0.7763502379822846,0.020701208601260724,0.018145409382338346
no_tail_both_mice,temporal_subsample,5.0,5,0.7649483392155807,0.03320428242251412,0.029104836795210445,0.7600716374465462,0.03557986327342578,0.031187125220535062,0.7580518051331223,0.04126623060057344,0.03617144594484115,0.7679017822903741,0.03169561505545132,0.027782431542240728
hips_tail_both_mice,temporal_subsample,5.0,5,0.7593834487218484,0.01834285074447673,0.016078217576986777,0.7460332093651936,0.03558083604086012,0.03118797788878598,0.7480463168716602,0.03945879116662055,0.03458715542854446,0.7604751238113017,0.020894824908917305,0.018315121558723616
head_neck_both_mice,temporal_subsample,5.0,5,0.752129810335066,0.0346711149415927,0.030390572187123092,0.747902018599173,0.03310294380042345,0.029016009576496013,0.7471024813397878,0.04219494070845326,0.03698549624642445,0.7552806287246618,0.034432307189189035,0.030181247962895102
trunk_tail_both_mice,temporal_subsample,5.0,5,0.7588408650666199,0.02237125206951039,0.01960926702472957,0.7455284293460648,0.04200795803120071,0.03682159870345942,0.745507911846196,0.041569014030479655,0.03643684732287965,0.7591813623807825,0.02140405752678559,0.018761483628689773
resident_only_full_body,temporal_subsample,5.0,5,0.5108810112564404,0.049223821801728684,0.04314658217111259,0.5365621145592082,0.035081604638315986,0.030750382270570212,0.4988428225185869,0.05453950611567125,0.04780598490849132,0.49145465752438033,0.05760664117427285,0.050494447323476056
