seed,region,degradation_mode,degradation_severity,accuracy,balanced_accuracy,macro_f1,weighted_f1,recall_attack,recall_investigation,recall_mount,recall_other,f1_attack,f1_investigation,f1_mount,f1_other,support_attack,support_investigation,support_mount,support_other
11,trunk_tail_both_mice,dropout,0.05,0.8026825221238938,0.811573051948052,0.8093610380026823,0.8016421555469443,0.787,0.6785,0.8952922077922078,0.8855,0.7700587084148728,0.7029267029267029,0.882047181127549,0.8824115595416044,2000,2000,1232,2000
11,trunk_tail_both_mice,dropout,0.15,0.7996404867256637,0.8085892857142858,0.8065767044189975,0.7987795402865017,0.7735,0.682,0.8928571428571429,0.886,0.7675514760605309,0.6971633018144646,0.88,0.881592039800995,2000,2000,1232,2000
11,trunk_tail_both_mice,dropout,0.3,0.7977046460176991,0.8067613636363636,0.8057635365087973,0.7974013943058177,0.751,0.6975,0.8920454545454546,0.8865,0.7597369752149722,0.6962815073621162,0.8845070422535212,0.8825286212045794,2000,2000,1232,2000
11,trunk_tail_both_mice,temporal_subsample,2.0,0.8061393805309734,0.8153993506493507,0.8125243216748911,0.8048653842423473,0.8025,0.675,0.9025974025974026,0.8815,0.7835001220405174,0.7022106631989596,0.8846459824980112,0.8797405189620758,2000,2000,1232,2000
11,trunk_tail_both_mice,temporal_subsample,3.0,0.7990873893805309,0.807387987012987,0.8058657448818864,0.7981982051741814,0.796,0.671,0.885551948051948,0.877,0.7765853658536586,0.6924664602683178,0.8780684104627766,0.8763427429427929,2000,2000,1232,2000
11,trunk_tail_both_mice,temporal_subsample,5.0,0.7900995575221239,0.797159090909091,0.7970019658457488,0.7897766188127482,0.782,0.669,0.8636363636363636,0.874,0.7638583638583638,0.6824789594491201,0.865040650406504,0.876629889669007,2000,2000,1232,2000
11,hips_tail_both_mice,clean,0.0,0.8017146017699115,0.804698051948052,0.8106133524267096,0.8038493586924599,0.806,0.7555,0.8327922077922078,0.8245,0.7842374118219412,0.7266169752344314,0.8743076267575628,0.8572913958929036,2000,2000,1232,2000
11,hips_tail_both_mice,jitter,0.02,0.8024059734513275,0.805323051948052,0.8113551089527278,0.8045906987632068,0.815,0.7515,0.8327922077922078,0.822,0.7859209257473481,0.7257363592467407,0.8750533049040512,0.858709845912771,2000,2000,1232,2000
11,hips_tail_both_mice,jitter,0.05,0.7946626106194691,0.799258116883117,0.8042022607133438,0.7964258357930993,0.845,0.695,0.8425324675324676,0.8145,0.7779056386651323,0.7002518891687658,0.8774302620456467,0.8612212529738303,2000,2000,1232,2000
11,hips_tail_both_mice,jitter,0.1,0.7578816371681416,0.7660081168831169,0.7695145312206727,0.7576589594050517,0.8935,0.5425,0.8425324675324676,0.7855,0.7340316286711851,0.6116121758737317,0.8811544991511036,0.8512598211866703,2000,2000,1232,2000
11,hips_tail_both_mice,dropout,0.05,0.7989491150442478,0.8018863636363637,0.8079129348003178,0.8012241469887872,0.7955,0.758,0.8295454545454546,0.8245,0.7797108551825533,0.7239732569245463,0.8708990200255645,0.8570686070686071,2000,2000,1232,2000
11,hips_tail_both_mice,dropout,0.15,0.7948008849557522,0.7968896103896104,0.8037923194834371,0.7974102562519355,0.782,0.7635,0.8165584415584416,0.8255,0.7740658252907696,0.7197737449917512,0.8638900815800773,0.8574396260711503,2000,2000,1232,2000
11,hips_tail_both_mice,dropout,0.3,0.7889933628318584,0.790159090909091,0.7977493090341771,0.7918747280429849,0.753,0.78,0.8011363636363636,0.8265,0.7638853664722293,0.7182320441988951,0.8530682800345721,0.8558115454310121,2000,2000,1232,2000
11,hips_tail_both_mice,temporal_subsample,2.0,0.796183628318584,0.7979058441558441,0.8051123208483084,0.7988682747030006,0.7955,0.7605,0.8141233766233766,0.8215,0.7820103219464242,0.7181303116147308,0.8639104220499569,0.8563982277821215,2000,2000,1232,2000
11,hips_tail_both_mice,temporal_subsample,3.0,0.7920353982300885,0.7929870129870129,0.8004576055099906,0.7946218196797679,0.787,0.7605,0.801948051948052,0.8225,0.7795938583457157,0.7155963302752294,0.8554112554112554,0.851228978007762,2000,2000,1232,2000
11,hips_tail_both_mice,temporal_subsample,5.0,0.7873340707964602,0.787801948051948,0.7960615174124305,0.7903150361435337,0.7805,0.7615,0.7922077922077922,0.817,0.7741135631043888,0.71002331002331,0.8501742160278746,0.8499349804941483,2000,2000,1232,2000
11,resident_only_full_body,clean,0.0,0.6844579646017699,0.7025162337662337,0.680796028389329,0.679819978693025,0.832,0.5205,0.872564935064935,0.585,0.803476581361661,0.5643805909460559,0.689987163029525,0.665339778220074,2000,2000,1232,2000
11,resident_only_full_body,jitter,0.02,0.6201603982300885,0.6462613636363637,0.607551749082618,0.6066512562275477,0.8525,0.46,0.8920454545454546,0.3805,0.7991563159128193,0.5041095890410959,0.6160313901345291,0.5109097012420275,2000,2000,1232,2000
11,resident_only_full_body,jitter,0.05,0.4864491150442478,0.5255422077922077,0.4158075648375673,0.40723791792325,0.9015,0.261,0.8936688311688312,0.046,0.7181836287592113,0.3618717504332756,0.4965050732807215,0.08666980687706076,2000,2000,1232,2000
11,resident_only_full_body,jitter,0.1,0.4134402654867257,0.45408766233766235,0.29893815378842076,0.27790639392479627,0.927,0.0525,0.8368506493506493,0.0,0.6006803823100599,0.09808500700607192,0.4969872258375512,0.0,2000,2000,1232,2000
11,resident_only_full_body,dropout,0.05,0.6843196902654868,0.7021574675324674,0.6810205671510243,0.6801789266264431,0.8235,0.5195,0.8701298701298701,0.5955,0.8000971581248482,0.563296286256438,0.6889460154241646,0.6717428087986463,2000,2000,1232,2000
11,resident_only_full_body,dropout,0.15,0.6850110619469026,0.7024707792207793,0.6827500415475231,0.6820120237228859,0.8025,0.534,0.8668831168831169,0.6065,0.7916152897657214,0.5737308622078968,0.6896997093961899,0.6759543048202842,2000,2000,1232,2000
11,resident_only_full_body,dropout,0.3,0.6764380530973452,0.6936298701298702,0.6757872358787054,0.675269912046039,0.756,0.535,0.8555194805194806,0.628,0.7728085867620751,0.5668874172185431,0.6806587019696481,0.6827942375645556,2000,2000,1232,2000
11,resident_only_full_body,temporal_subsample,2.0,0.6209900442477876,0.6456866883116883,0.6084629831602928,0.606274652086144,0.849,0.4645,0.8782467532467533,0.391,0.7678046574723039,0.5175487465181059,0.6290697674418605,0.5194287612089007,2000,2000,1232,2000
11,resident_only_full_body,temporal_subsample,3.0,0.5778484513274337,0.6071542207792208,0.5529729461186844,0.5477379051332597,0.876,0.394,0.8831168831168831,0.2755,0.7439490445859872,0.46230566148430624,0.6022695820647661,0.4033674963396779,2000,2000,1232,2000
11,resident_only_full_body,temporal_subsample,5.0,0.5250276548672567,0.5574561688311689,0.48214351991308263,0.4708563892451936,0.903,0.2915,0.8628246753246753,0.1725,0.6890499809233117,0.3756443298969072,0.5884306670357043,0.2754491017964072,2000,2000,1232,2000
11,intruder_only_full_body,clean,0.0,0.6161504424778761,0.637961038961039,0.6176714744728032,0.6109132442847998,0.719,0.497,0.8433441558441559,0.4925,0.7260792729108811,0.5151593677118425,0.681311475409836,0.5481357818586533,2000,2000,1232,2000
